TITLE,AUTHOR,VERSION,PRICE
Novia,Ali Hazelwood,tapa blanda,"18,00"
Tres enigmas para la organización,Eduardo Mendoza,tapa blanda,"20,80"
El hijo olvidado,Mikel Santiago,tapa blanda,"21,75"
La paciente silenciosa,Alex Michaelides,tapa blanda,"10,40"
El barracon de las mujeres,Fermina Cañaveras,tapa blanda,"19,85"
París despertaba tarde,Maxim Huerta,tapa dura,"19,85"
Las hijas de la criada (premio planeta 2023),Sonsoles Onega,tapa dura,"21,75"
La red púrpura (edición limitada) (la novia gitana 2),Carmen Mola,tapa blanda,"7,55"
El angel de la ciudad ((ejemplar firmado por la autora),Eva Garcia Saenz De Urturi,tapa dura,"20,80"
Scarred: una historia de nunca jamas,Emily Mcintire,tapa blanda,"19,90"
